Name,Description,Price,Original Price,Category,Subcategory,Brand,SKU,Images,Status
"Slippery Elm Capsules, 100 Capsules","Get Slippery Elm Capsules, 100 Capsules at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",1995.00,2999.00,"Probiotics & Gut Health","Digestive Supplements","Nature's Way","B00068PUJM  B00068PUJM","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61K9Ygh3ZVL._AC_SL1500.jpg?v=1770200594",active
"Jarrow Formulas Saccharomyces Boulardii + MOS Probiotics 180 Capsules","Get Jarrow Formulas Saccharomyces Boulardii + MOS Probiotics 180 Capsules at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7495.00,8995.00,"Probiotics & Gut Health","Digestive Supplements","Jarrow Formulas","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/712PoBlQ7DL._AC_SL1500.jpg?v=1770027507",draft
"Organic Excellence Feminine  Wild Yam","Get Organic Excellence Feminine  Wild Yam at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",6799.00,7500.00,"Women's Health","Women's Multivitamins","organic excellence","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61ADMwTLC7L._AC_SL1500.jpg?v=1769606523",active
"Micro Ingredients L-Arginine 1000mg with MCT Oil,","Get Micro Ingredients L-Arginine 1000mg with MCT Oil, at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3900.00,4500.00,"Food Supplements","","Micro Ingredients","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71qE7sUwwcL._AC_SL1500.jpg?v=1769605221",active
"Jarro Dophilus Probiotics 10 Billion CFU 60 Veggie Capsules","Get Jarro Dophilus Probiotics 10 Billion CFU 60 Veggie Capsules at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4495.00,6295.00,"Probiotics & Gut Health","Probiotics","Jarrow Formulas","B00028NV2E  B00028NV2E","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71xO8KayJzL._AC_SL1500.jpg?v=1769421385",active
"Ginkgo Biloba 120mg, 240 Capsules","Get Ginkgo Biloba 120mg, 240 Capsules at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3395.00,4392.00,"Specialty Supplements","Brain & Cognitive","Nutricost","B01BCULYEC  B01BCULYEC","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61j1Nbmk3xL._AC_SL1500.jpg?v=1769419285",active
"L-Methylfolate + Methyl B12 Cofactor for Kids","Get L-Methylfolate + Methyl B12 Cofactor for Kids at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3995.00,5579.00,"Vitamins","Kids Supplements","Triquetra Health","B0DLCGKQMR  B0DLCGKQMR","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/organic-kids-l-methylfolate-methyl-b12-cofactor-5-mthf-kenya-1.jpg?v=1769198314",active
"Micro Ingredients Oil of Oregano Softgel","Get Micro Ingredients Oil of Oregano Softgel at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4299.00,6600.00,"Food Supplements","","Micro Ingredients","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/micro-ingredients-oil-of-oregano-softgel-kenya-1.jpg?v=1769198314",active
"Omega-3 Fish Oil 2200mg - Sports Research?","Get Omega-3 Fish Oil 2200mg - Sports Research? at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",6099.00,7500.00,"Food Supplements","","Sports Research","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/sports-research-r-total-omega-3-fish-oil-2200mg-kenya-1.jpg?v=1769198315",active
"Lithium Orotate - Vital Nutrients 20mg","Get Lithium Orotate - Vital Nutrients 20mg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7800.00,9800.00,"Food Supplements","","vital nutrients","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/vital-nutrients-lithium-orotate-20mg-kenya-1.jpg?v=1769198314",active
"Fem-Dophilus Vaginal Probiotics","Get Fem-Dophilus Vaginal Probiotics at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",6299.00,8500.00,"Probiotics & Gut Health","Probiotics","Jarrow Formulas","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/jarrow-formulas-fem-dophilus-vaginal-probiotics-1-billion-cfu-kenya-1.jpg?v=1769198314",active
"D-Ribose Powder (250 Grams)","Get D-Ribose Powder (250 Grams) at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3795.00,55000.00,"Food Supplements","","Nutricost","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nutricost-d-ribose-powder-250-grams-kenya-1.jpg?v=1769198315",active
"Flaxseed Oil 1000 mg","Get Flaxseed Oil 1000 mg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4195.00,4500.00,"Food Supplements","","Nature Made","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71cNos0_MaL._AC_SL1500.jpg?v=1777021303",active
"CholestOff Plus - Nature Made","Get CholestOff Plus - Nature Made at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",6195.00,7500.00,"Food Supplements","","nature made","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nature-made-cholestoff-plus-kenya-1.jpg?v=1769198314",active
"Double Wood Supplements NMN 250mg","Get Double Wood Supplements NMN 250mg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7800.00,8800.00,"Food Supplements","","Double Wood","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/double-wood-supplements-nmn-250mg-kenya-1.jpg?v=1769198314",active
"OLLY Kids Multivitamin & Probiotic","Get OLLY Kids Multivitamin & Probiotic at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",2145.00,3500.00,"Probiotics & Gut Health","Probiotics","Olly","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71iavi4-y-L._AC_SX679.jpg?v=1767861155",active
"Sports Research Evening Primrose","Get Sports Research Evening Primrose at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4299.00,5500.00,"Women's Health","Hormonal Balance","Sports Research","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61sb7unJ0FL._AC_SL1200.jpg?v=1775041579",active
"Centrum Minis Silver Women's Multivitamin for Women 50 Plus","Get Centrum Minis Silver Women's Multivitamin for Women 50 Plus at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4299.00,5600.00,"Food Supplements","","Centrum","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71c_sDK40xL._AC_SL1500.jpg?v=1765788684",active
"Life Extension Thyroid Support Complex","Get Life Extension Thyroid Support Complex at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5299.00,7999.00,"Food Supplements","","Life Extension","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71ytzVQIVcL._AC_SL1500.jpg?v=1765442937",active
"Myo-Inositol & D-Chiro Inositol  Folate and Vitamin D","Get Myo-Inositol & D-Chiro Inositol  Folate and Vitamin D at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5840.00,7500.00,"Food Supplements","","Wholesome Story","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/719zJh5SVtL._AC_SL1500.jpg?v=1765441690",active
"Life Extension Melatonin 3MG","Get Life Extension Melatonin 3MG at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",2799.00,3500.00,"Food Supplements","","Life Extension","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71XJ72QxrsL._AC_SL1500__2.jpg?v=1765367208",active
"Booty Gummies for Women","Get Booty Gummies for Women at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5495.00,6813.00,"Weight Management","","Misc","?B0FD3JTNZS","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71elS6ISA6L._AC_SL1500.jpg?v=1765246435",active
"Weight Gainer Pro Performance","Get Weight Gainer Pro Performance at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",8815.00,8814.00,"Protein","Protein Powder","GNC","?B01MYU7E44","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/51gQ4tRPYAL._AC_SL1500.jpg?v=1765246115",active
"Weight Gain Powder Supplement -Instant Nutrition","Get Weight Gain Powder Supplement -Instant Nutrition at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4995.00,7994.00,"Weight Management","","Naturade","?B00024CQ74","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71WtXlSAtIL._AC_SL1500.jpg?v=1765245918",active
"alli Weight Loss Pills","Get alli Weight Loss Pills at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",9599.00,15000.00,"Weight Management","","GSK","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/717ZpO5vElL._AC_SL1500.jpg?v=1776328974",active
"Berberine Supplement","Get Berberine Supplement at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4065.00,5861.00,"Specialty Supplements","Herbal Supplements","Sports Research","?B0CLFJ9BNM","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/515PLpdLmqL._AC_SL1200.jpg?v=1771321547",active
"Ginkgo Biloba Doctor's Best Extra Strength","Get Ginkgo Biloba Doctor's Best Extra Strength at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",2995.00,,"Food Supplements","","Doctor's Best","?B000NRXNT0","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71zO-y5ws6L._AC_SL1500.jpg?v=1765067993",active
"One A Day Multivitamin for Women 50+","Get One A Day Multivitamin for Women 50+ at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3995.00,4500.00,"Vitamins","Multivitamins","One A Day","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71Pq6fBtS8L._AC_SL1500_16633b79-3367-4e4f-823d-3908b21f5670.jpg?v=1764760259",active
"Life Extension Super Vitamin E 400 IU","Get Life Extension Super Vitamin E 400 IU at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3695.00,4500.00,"Food Supplements","","Life Extension","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/life-extension-super-vitamin-e-400-iu-kenya-1.jpg?v=1764693077",active
"Nature Made Daily Diabetes Health Pack, 30 Packets.","Get Nature Made Daily Diabetes Health Pack, 30 Packets. at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4595.00,6600.00,"Food Supplements","","Nature Made","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nature-made-daily-diabetes-health-pack-30-packets-kenya-1.jpg?v=1764693076",active
"Optimum Nutrition Micronized Creatine Powder, Unflavored, 23.8 oz","Get Optimum Nutrition Micronized Creatine Powder, Unflavored, 23.8 oz at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3895.00,5500.00,"Protein","Creatine","Optimum Nutrition","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/optimum-nutrition-micronized-creatine-powder-unflavored-23-8-oz-kenya-1.avif?v=1764693077",active
"One A Day Multivitamin for Men","Get One A Day Multivitamin for Men at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3595.00,4500.00,"Vitamins","Multivitamins","One A Day","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71HWs2wWziL._AC_SL1500.jpg?v=1763551597",active
"California Gold Nutrition CollagenUP?, Hydrolyzed Marine Collagen","Get California Gold Nutrition CollagenUP?, Hydrolyzed Marine Collagen at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3995.00,4500.00,"Collagen","Collagen Peptides","California Gold Nutrition","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/california-gold-nutrition-collagenup-r-hydrolyzed-marine-collagen-kenya-1.jpg?v=1764693076",active
"Sports Research? Vitamin D3 + K2 60CT","Get Sports Research? Vitamin D3 + K2 60CT at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4395.00,5295.00,"Vitamins","Vitamin D","Sports Research","?B0DD5ZC8PW","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/sports-research-r-vitamin-d3-k2-60ct-kenya-1.jpg?v=1764693076",active
"DHT Block","Get DHT Block at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7995.00,8500.00,"Women's Health","Hormonal Balance","Gentle Action","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/dht-block-kenya-1.jpg?v=1764693077",active
"Nature's Way Vitex, 320 Capsules","Get Nature's Way Vitex, 320 Capsules at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4195.00,5000.00,"Food Supplements","","Nature's Way","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nature-s-way-vitex-320-capsules-kenya-1.jpg?v=1764693077",active
"One A Day Multivitamin for Women - Daily Vitamins 200 tablets","Get One A Day Multivitamin for Women - Daily Vitamins 200 tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3399.00,,"Vitamins","Multivitamins","ONE A DAY","?B09QBKGDLS","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/one-a-day-multivitamin-for-women-daily-vitamins-200-tablets-kenya-2.jpg?v=1768552157",active
"Nutricost HMB (Beta-Hydroxy Beta-Methylbutyrate)","Get Nutricost HMB (Beta-Hydroxy Beta-Methylbutyrate) at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",2995.00,3500.00,"Food Supplements","","Nutricost","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nutricost-hmb-1000mg-kenya-1.jpg?v=1764693077",active
"MaryRuth?s Nighttime Multimineral","Get MaryRuth?s Nighttime Multimineral at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4995.00,2273.00,"Vitamins","Multivitamins","MaryRuth Organics","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/maryruth-s-nighttime-multimineral-kenya-1.webp?v=1764693109",active
"OLLY Sleep Gummy","Get OLLY Sleep Gummy at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",2595.00,1491.00,"Food Supplements","Gummies","Olly","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/olly-sleep-gummy-kenya-1.jpg?v=1764693109",active
"Life Extension Decaffeinated Mega Green Tea Extract","Get Life Extension Decaffeinated Mega Green Tea Extract at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4195.00,6600.00,"Food Supplements","","Life Extension","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/life-extension-decaffeinated-mega-green-tea-extract-kenya-1.webp?v=1764693109",active
"Nutricost Nattokinase","Get Nutricost Nattokinase at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3395.00,4700.00,"Food Supplements","","Nutricost","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nutricost-nattokinase-kenya-1.jpg?v=1764693109",active
"Qunol Mega Ubiquinol CoQ10 100mg Softgels 60 Count","Get Qunol Mega Ubiquinol CoQ10 100mg Softgels 60 Count at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4995.00,5495.00,"Food Supplements","","Qunol","?B00ZQULF1C","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/qunol-ubiquinol-coq10-100mg-softgels-60-count-kenya-1.jpg?v=1764693134",draft
"Centrum Silver Men's 50+ Multivitamin 200 Tablets","Get Centrum Silver Men's 50+ Multivitamin 200 Tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3095.00,4995.00,"Vitamins","Multivitamins","Centrum","?B09KCD4D7F","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/centrum-silver-men-s-50-multivitamin-200-tablets-kenya-1.jpg?v=1764693134",draft
"Natural Factors Chewable DGL 400 mg 180 Chewable Tablets","Get Natural Factors Chewable DGL 400 mg 180 Chewable Tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5099.00,6999.00,"Food Supplements","","Natural Factors","?B0001KFGWQ","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71i6WFBrUKL._AC_SL1500.jpg?v=1760354713",draft
"MaryRuth's Daily Liquid Hair Formula 650ml","Get MaryRuth's Daily Liquid Hair Formula 650ml at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4995.00,6999.00,"Specialty Supplements","Herbal Supplements","MaryRuth Organics","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/f574aba7-ac6e-4493-ba49-12f07f6a6586.1e8952741d8991856379948477a212d5.webp?v=1760166115",active
"MegaFood Turmeric Curcumin","Get MegaFood Turmeric Curcumin at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5395.00,7500.00,"Food Supplements","","MegaFood","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71ugBGH8ZuL._AC_SX679.jpg?v=1759152926",active
"Estrogen Balance Elite 60 Tablets","Get Estrogen Balance Elite 60 Tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3495.00,4995.00,"Food Supplements","","Life Extension","?B0DFHX7HBP","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/715G0-HmT8L._AC_SL1500.jpg?v=1755340905",draft
"Nutricost Creatine Monohydrate Powder Watermelon","Get Nutricost Creatine Monohydrate Powder Watermelon at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4999.00,6999.00,"Protein","Creatine","Nutricost","?B0CDJ2XTQB","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/nutricost-creatine-monohydrate-powder-watermelon-kenya-kenya-1.jpg?v=1754375599",active
